AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Upper Deschutes,37760,Little Deschutes at Lower Crosswater Bridge,43.85476,-121.4473,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37763,Deschutes River at Wyeth campground (left),43.73796,-121.6147,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37767,Fall River at mouth to Deschutes River,43.78858,-121.5126,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Upper Deschutes,37774,Deschutes River u/s Little Deschutes mouth,43.8534,-121.4548,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,37776,Deschutes River u/s Spring River mouth,43.8713,-121.4618,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,USGS-14076500,"DESCHUTES RIVER NEAR CULVER, OR",44.49873,-121.3212,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,USGS-14087400,"CROOKED RIVER BELOW OPAL SPRINGS, NEAR CULVER, OR",44.49234,-121.2984,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,USGS-14091500,"METOLIUS RIVER NEAR GRANDVIEW, OR",44.62623,-121.4839,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Middle Willamette,10373,Mary's River at 99W (Corvallis),44.55672,-123.2643,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Middle Willamette,11140,Long Tom River at Stow Pit Road (Monroe),44.34278,-123.2954,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Middle Willamette,36790,Muddy Creek south of Corvallis at Airport Ave.,44.4968,-123.3307,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Middle Willamette,36875,Luckiamute River at Buena Vista Road,44.73039,-123.1626,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Middle Willamette,37103,Willamette River at Goracke Road,44.33543,-123.2453,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,10537,Winchuck River 1.3 miles upstream of Hwy 101,42.00714,-124.1861,South Coast-Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,11483,Chetco River at USGS Gage (10 miles upstream of Brookings),42.12372,-124.1859,South Coast-Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,11493,Pistol River at Pistol River Loop Road,42.27222,-124.3956,South Coast-Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Burnt River,11494,Burnt River at Snake River Road (Huntington),44.35672,-117.2529,All other basin waters,6.8,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Tualatin River Subbasin,USGS-14206443,"DAWSON CREEK AT BROOKWOOD ROAD, NEAR HILLSBORO, OR",45.52401,-122.9348,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
